train_name,stop_key,stop_id,stop_name,parent_id,key,direction
L,L 1 Av,L06,1 Av,L06,L1 ,L06N
6,6 103 St,624,103 St,624,610,624N
1,1 103 St,119,103 St,119,110,119N
A,A 103 St,A18,103 St,A18,A10,A18N
7,7 103 St - Corona Plaza,706,103 St - Corona Plaza,706,710,706N
A,A 104 St,A63,104 St,A63,A10,A63N
J,J 104 St,J14,104 St,J14,J10,J14N
6,6 110 St,623,110 St,623,611,623N
7,7 111 St,705,111 St,705,711,705N
A,A 111 St,A64,111 St,A64,A11,A64N
J,J 111 St,J13,111 St,J13,J11,J13N
6,6 116 St,622,116 St,622,611,622N
2,2 116 St,226,116 St,226,211,226N
A,A 116 St,A16,116 St,A16,A11,A16N
1,1 116 St - Columbia University,117,116 St - Columbia University,117,111,117N
J,J 121 St,J12,121 St,J12,J12,J12N
6,6 125 St,621,125 St,621,612,621N
1,1 125 St,116,125 St,116,112,116N
2,2 125 St,225,125 St,225,212,225N
A,A 125 St,A15,125 St,A15,A12,A15N
2,2 135 St,224,135 St,224,213,224N
A,A 135 St,A14,135 St,A14,A13,A14N
1,1 137 St - City College,115,137 St - City College,115,113,115N
4,4 138 St - Grand Concourse,416,138 St - Grand Concourse,416,413,416N
1,1 14 St,132,14 St,132,114,132N
D,D 14 St,D19,14 St,D19,D14,D19N
A,A 14 St,A31,14 St,A31,A14,A31N
6,6 14 St - Union Sq,635,14 St - Union Sq,635,614,635N
R,R 14 St - Union Sq,R20,14 St - Union Sq,635,R14,R20N
D,D 145 St,D13,145 St,A12,D14,D13N
A,A 145 St,A12,145 St,A12,A14,A12N
1,1 145 St,114,145 St,114,114,114N
3,3 145 St,302,145 St,302,314,302N
4,4 149 St - Grand Concourse,415,149 St - Grand Concourse,222,414,415N
2,2 149 St - Grand Concourse,222,149 St - Grand Concourse,222,214,222N
F,F 15 St - Prospect Park,F25,15 St - Prospect Park,F25,F15,F25N
D,D 155 St,D12,155 St,D12,D15,D12N
A,A 155 St,A11,155 St,A11,A15,A11N
1,1 157 St,113,157 St,113,115,113N
4,4 161 St - Yankee Stadium,414,161 St - Yankee Stadium,414,416,414N
D,D 161 St - Yankee Stadium,D11,161 St - Yankee Stadium,414,D16,D11N
A,A 163 St - Amsterdam Av,A10,163 St - Amsterdam Av,A10,A16,A10N
4,4 167 St,413,167 St,413,416,413N
D,D 167 St,D10,167 St,D10,D16,D10N
A,A 168 St,A09,168 St,112,A16,A09N
1,1 168 St - Washington Hts,112,168 St - Washington Hts,112,116,112N
F,F 169 St,F02,169 St,F02,F16,F02N
D,D 170 St,D09,170 St,D09,D17,D09N
4,4 170 St,412,170 St,412,417,412N
2,2 174 St,215,174 St,215,217,215N
D,D 174-175 Sts,D08,174-175 Sts,D08,D17,D08N
A,A 175 St,A07,175 St,A07,A17,A07N
4,4 176 St,410,176 St,410,417,410N
N,N 18 Av,N05,18 Av,N05,N18,N05N
F,F 18 Av,F30,18 Av,F30,F18,F30N
B,B 18 Av,B19,18 Av,B19,B18,B19N
1,1 18 St,131,18 St,131,118,131N
A,A 181 St,A06,181 St,A06,A18,A06N
1,1 181 St,111,181 St,111,118,111N
D,D 182-183 Sts,D06,182-183 Sts,D06,D18,D06N
4,4 183 St,408,183 St,408,418,408N
A,A 190 St,A05,190 St,A05,A19,A05N
1,1 191 St,110,191 St,110,119,110N
F,F 2 Av,F14,2 Av,F14,F2 ,F14N
B,B 20 Av,B20,20 Av,B20,B20,B20N
N,N 20 Av,N06,20 Av,N06,N20,N06N
1,1 207 St,108,207 St,108,120,108N
G,G 21 St,G24,21 St,G24,G21,G24N
B,B 21 St - Queensbridge,B04,21 St - Queensbridge,B04,B21,B04N
1,1 215 St,107,215 St,107,121,107N
2,2 219 St,207,219 St,207,221,207N
2,2 225 St,206,225 St,206,222,206N
1,1 23 St,130,23 St,130,123,130N
A,A 23 St,A30,23 St,A30,A23,A30N
D,D 23 St,D18,23 St,D18,D23,D18N
6,6 23 St,634,23 St,634,623,634N
R,R 23 St,R19,23 St,R19,R23,R19N
1,1 231 St,104,231 St,104,123,104N
2,2 233 St,205,233 St,205,223,205N
1,1 238 St,103,238 St,103,123,103N
B,B 25 Av,B22,25 Av,B22,B25,B22N
R,R 25 St,R35,25 St,R35,R25,R35N
1,1 28 St,129,28 St,129,128,129N
6,6 28 St,633,28 St,633,628,633N
R,R 28 St,R18,28 St,R18,R28,R18N
L,L 3 Av,L05,3 Av,L05,L3 ,L05N
6,6 3 Av - 138 St,619,3 Av - 138 St,619,63 ,619N
2,2 3 Av - 149 St,221,3 Av - 149 St,221,23 ,221N
R,R 30 Av,R04,30 Av,R04,R30,R04N
7,7 33 St,716,33 St,716,733,716N
6,6 33 St,632,33 St,632,633,632N
7,7 34 St - 11 Av,726,34 St - 11 Av,726,734,726N
R,R 34 St - Herald Sq,R17,34 St - Herald Sq,D17,R34,R17N
D,D 34 St - Herald Sq,D17,34 St - Herald Sq,D17,D34,D17N
1,1 34 St - Penn Station,128,34 St - Penn Station,128,134,128N
A,A 34 St - Penn Station,A28,34 St - Penn Station,A28,A34,A28N
R,R 36 Av,R06,36 Av,R06,R36,R06N
G,G 36 St,G20,36 St,G20,G36,G20N
R,R 36 St,R36,36 St,R36,R36,R36N
R,R 39 Av,R08,39 Av,R08,R39,R08N
F,F 4 Av,F23,4 Av,F23,F4 ,F23N
7,7 40 St,715,40 St,715,740,715N
D,D 42 St - Bryant Pk,D16,42 St - Bryant Pk,D16,D42,D16N
A,A 42 St - Port Authority Bus Terminal,A27,42 St - Port Authority Bus Terminal,A27,A42,A27N
R,R 45 St,R39,45 St,R39,R45,R39N
7,7 46 St,714,46 St,714,746,714N
G,G 46 St,G18,46 St,G18,G46,G18N
D,D 47-50 Sts - Rockefeller Ctr,D15,47-50 Sts - Rockefeller Ctr,D15,D47,D15N
R,R 49 St,R15,49 St,R15,R49,R15N
7,7 5 Av,724,5 Av,724,75 ,724N
F,F 5 Av/53 St,F12,5 Av/53 St,F12,F5 ,F12N
R,R 5 Av/59 St,R13,5 Av/59 St,R13,R5 ,R13N
1,1 50 St,126,50 St,126,150,126N
A,A 50 St,A25,50 St,A25,A50,A25N
B,B 50 St,B14,50 St,B14,B50,B14N
6,6 51 St,630,51 St,630,651,630N
7,7 52 St,713,52 St,713,752,713N
R,R 53 St,R40,53 St,R40,R53,R40N
B,B 55 St,B15,55 St,B15,B55,B15N
B,B 57 St,B10,57 St,B10,B57,B10N
R,R 57 St - 7 Av,R14,57 St - 7 Av,R14,R57,R14N
6,6 59 St,629,59 St,629,659,629N
R,R 59 St,R41,59 St,R41,R59,R41N
A,A 59 St - Columbus Circle,A24,59 St - Columbus Circle,125,A59,A24N
1,1 59 St - Columbus Circle,125,59 St - Columbus Circle,125,159,125N
L,L 6 Av,L02,6 Av,D19,L6 ,L02N
B,B 62 St,B16,62 St,B16,B62,B16N
G,G 63 Dr - Rego Park,G10,63 Dr - Rego Park,G10,G63,G10N
G,G 65 St,G15,65 St,G15,G65,G15N
1,1 66 St - Lincoln Center,124,66 St - Lincoln Center,124,166,124N
G,G 67 Av,G09,67 Av,G09,G67,G09N
6,6 68 St - Hunter College,628,68 St - Hunter College,628,668,628N
7,7 69 St,711,69 St,711,769,711N
F,F 7 Av,F24,7 Av,F24,F7 ,F24N
D,D 7 Av,D14,7 Av,D14,D7 ,D14N
D,D 7 Av,D25,7 Av,D25,D7 ,D25N
B,B 71 St,B17,71 St,B17,B71,B17N
Q,Q 72 St,Q03,72 St,Q03,Q72,Q03N
1,1 72 St,123,72 St,123,172,123N
A,A 72 St,A22,72 St,A22,A72,A22N
7,7 74 St - Broadway,710,74 St - Broadway,710,774,710N
F,F 75 Av,F07,75 Av,F07,F75,F07N
J,J 75 St,J17,75 St,J17,J75,J17N
6,6 77 St,627,77 St,627,677,627N
R,R 77 St,R43,77 St,R43,R77,R43N
1,1 79 St,122,79 St,122,179,122N
B,B 79 St,B18,79 St,B18,B79,B18N
L,L 8 Av,L01,8 Av,A31,L8 ,L01N
N,N 8 Av,N02,8 Av,N02,N8 ,N02N
R,R 8 St - NYU,R21,8 St - NYU,R21,R8 ,R21N
A,A 80 St,A59,80 St,A59,A80,A59N
A,A 81 St - Museum of Natural History,A21,81 St - Museum of Natural History,A21,A81,A21N
7,7 82 St - Jackson Hts,709,82 St - Jackson Hts,709,782,709N
J,J 85 St - Forest Pkwy,J16,85 St - Forest Pkwy,J16,J85,J16N
Q,Q 86 St,Q04,86 St,Q04,Q86,Q04N
N,N 86 St,N10,86 St,N10,N86,N10N
6,6 86 St,626,86 St,626,686,626N
1,1 86 St,121,86 St,121,186,121N
R,R 86 St,R44,86 St,R44,R86,R44N
A,A 86 St,A20,86 St,A20,A86,A20N
A,A 88 St,A60,88 St,A60,A88,A60N
B,B 9 Av,B12,9 Av,B12,B9 ,B12N
R,R 9 St,R33,9 St,F23,R9 ,R33N
7,7 90 St - Elmhurst Av,708,90 St - Elmhurst Av,708,790,708N
Q,Q 96 St,Q05,96 St,Q05,Q96,Q05N
6,6 96 St,625,96 St,625,696,625N
1,1 96 St,120,96 St,120,196,120N
A,A 96 St,A19,96 St,A19,A96,A19N
J,J Alabama Av,J24,Alabama Av,J24,JAl,J24N
2,2 Allerton Av,210,Allerton Av,210,2Al,210N
S,S Annadale,S17,Annadale,S17,SAn,S17N
H,H Aqueduct - N Conduit Av,H02,Aqueduct - N Conduit Av,H02,HAq,H02N
H,H Aqueduct Racetrack,H01,Aqueduct Racetrack,H01,HAq,H01N
S,S Arthur Kill,S11,Arthur Kill,S11,SAr,S11N
6,6 Astor Pl,636,Astor Pl,636,6As,636N
R,R Astoria - Ditmars Blvd,R01,Astoria - Ditmars Blvd,R01,RAs,R01N
R,R Astoria Blvd,R03,Astoria Blvd,R03,RAs,R03N
S,S Atlantic,S10,Atlantic,S10,SAt,S10N
L,L Atlantic Av,L24,Atlantic Av,L24,LAt,L24N
2,2 Atlantic Av - Barclays Ctr,235,Atlantic Av - Barclays Ctr,235,2At,235N
D,D Atlantic Av - Barclays Ctr,D24,Atlantic Av - Barclays Ctr,235,DAt,D24N
R,R Atlantic Av - Barclays Ctr,R31,Atlantic Av - Barclays Ctr,235,RAt,R31N
D,D Avenue H,D32,Avenue H,D32,DAv,D32N
F,F Avenue I,F31,Avenue I,F31,FAv,F31N
D,D Avenue J,D33,Avenue J,D33,DAv,D33N
D,D Avenue M,D34,Avenue M,D34,DAv,D34N
F,F Avenue N,F33,Avenue N,F33,FAv,F33N
F,F Avenue P,F34,Avenue P,F34,FAv,F34N
N,N Avenue U,N09,Avenue U,N09,NAv,N09N
D,D Avenue U,D37,Avenue U,D37,DAv,D37N
F,F Avenue U,F36,Avenue U,F36,FAv,F36N
F,F Avenue X,F38,Avenue X,F38,FAv,F38N
B,B Bay 50 St,B23,Bay 50 St,B23,BBa,B23N
B,B Bay Pkwy,B21,Bay Pkwy,B21,BBa,B21N
N,N Bay Pkwy,N07,Bay Pkwy,N07,NBa,N07N
F,F Bay Pkwy,F32,Bay Pkwy,F32,FBa,F32N
R,R Bay Ridge - 95 St,R45,Bay Ridge - 95 St,R45,RBa,R45N
R,R Bay Ridge Av,R42,Bay Ridge Av,R42,RBa,R42N
S,S Bay Terrace,S20,Bay Terrace,S20,SBa,S20N
5,5 Baychester Av,502,Baychester Av,502,5Ba,502N
H,H Beach 105 St,H14,Beach 105 St,H14,HBe,H14N
H,H Beach 25 St,H10,Beach 25 St,H10,HBe,H10N
H,H Beach 36 St,H09,Beach 36 St,H09,HBe,H09N
H,H Beach 44 St,H08,Beach 44 St,H08,HBe,H08N
H,H Beach 60 St,H07,Beach 60 St,H07,HBe,H07N
H,H Beach 67 St,H06,Beach 67 St,H06,HBe,H06N
H,H Beach 90 St,H12,Beach 90 St,H12,HBe,H12N
H,H Beach 98 St,H13,Beach 98 St,H13,HBe,H13N
G,G Bedford - Nostrand Avs,G33,Bedford - Nostrand Avs,G33,GBe,G33N
L,L Bedford Av,L08,Bedford Av,L08,LBe,L08N
D,D Bedford Park Blvd,D03,Bedford Park Blvd,D03,DBe,D03N
4,4 Bedford Park Blvd - Lehman College,405,Bedford Park Blvd - Lehman College,405,4Be,405N
2,2 Bergen St,236,Bergen St,236,2Be,236N
F,F Bergen St,F20,Bergen St,F20,FBe,F20N
D,D Beverley Rd,D29,Beverley Rd,D29,DBe,D29N
2,2 Beverly Rd,245,Beverly Rd,245,2Be,245N
6,6 Bleecker St,637,Bleecker St,637,6Bl,637N
4,4 Borough Hall,423,Borough Hall,232,4Bo,423N
2,2 Borough Hall,232,Borough Hall,232,2Bo,232N
S,S Botanic Garden,S04,Botanic Garden,239,SBo,S04N
M,M Bowery,M19,Bowery,M19,MBo,M19N
4,4 Bowling Green,420,Bowling Green,420,4Bo,420N
F,F Briarwood - Van Wyck Blvd,F05,Briarwood - Van Wyck Blvd,F05,FBr,F05N
D,D Brighton Beach,D40,Brighton Beach,D40,DBr,D40N
H,H Broad Channel,H19,Broad Channel,H19,HBr,H19N
H,H Broad Channel,H04,Broad Channel,H04,HBr,H04N
M,M Broad St,M23,Broad St,M23,MBr,M23N
R,R Broadway,R05,Broadway,R05,RBr,R05N
G,G Broadway,G30,Broadway,G30,GBr,G30N
A,A Broadway Jct,A51,Broadway Jct,A51,ABr,A51N
J,J Broadway Jct,J27,Broadway Jct,A51,JBr,J27N
L,L Broadway Jct,L22,Broadway Jct,A51,LBr,L22N
D,D Broadway-Lafayette St,D21,Broadway-Lafayette St,637,DBr,D21N
2,2 Bronx Park East,212,Bronx Park East,212,2Br,212N
6,6 Brook Av,618,Brook Av,618,6Br,618N
6,6 Brooklyn Bridge - City Hall,640,Brooklyn Bridge - City Hall,640,6Br,640N
6,6 Buhre Av,602,Buhre Av,602,6Bu,602N
2,2 Burke Av,209,Burke Av,209,2Bu,209N
4,4 Burnside Av,409,Burnside Av,409,4Bu,409N
L,L Bushwick Av - Aberdeen St,L21,Bushwick Av - Aberdeen St,L21,LBu,L21N
6,6 Canal St,639,Canal St,639,6Ca,639N
Q,Q Canal St,Q01,Canal St,639,QCa,Q01N
M,M Canal St,M20,Canal St,639,MCa,M20N
R,R Canal St,R23,Canal St,639,RCa,R23N
1,1 Canal St,135,Canal St,135,1Ca,135N
A,A Canal St,A34,Canal St,A34,ACa,A34N
L,L Canarsie - Rockaway Pkwy,L29,Canarsie - Rockaway Pkwy,L29,LCa,L29N
F,F Carroll St,F21,Carroll St,F21,FCa,F21N
6,6 Castle Hill Av,607,Castle Hill Av,607,6Ca,607N
1,1 Cathedral Pkwy,118,Cathedral Pkwy,118,1Ca,118N
A,A Cathedral Pkwy (110 St),A17,Cathedral Pkwy (110 St),A17,ACa,A17N
M,M Central Av,M10,Central Av,M10,MCe,M10N
2,2 Central Park North (110 St),227,Central Park North (110 St),227,2Ce,227N
M,M Chambers St,M21,Chambers St,640,MCh,M21N
A,A Chambers St,A36,Chambers St,A36,ACh,A36N
1,1 Chambers St,137,Chambers St,137,1Ch,137N
J,J Chauncey St,J28,Chauncey St,J28,JCh,J28N
1,1 Christopher St - Sheridan Sq,133,Christopher St - Sheridan Sq,133,1Ch,133N
2,2 Church Av,244,Church Av,244,2Ch,244N
F,F Church Av,F27,Church Av,F27,FCh,F27N
D,D Church Av,D28,Church Av,D28,DCh,D28N
R,R City Hall,R24,City Hall,R24,RCi,R24N
2,2 Clark St,231,Clark St,231,2Cl,231N
G,G Classon Av,G34,Classon Av,G34,GCl,G34N
J,J Cleveland St,J22,Cleveland St,J22,JCl,J22N
S,S Clifton,S28,Clifton,S28,SCl,S28N
A,A Clinton - Washington Avs,A44,Clinton - Washington Avs,A44,ACl,A44N
G,G Clinton - Washington Avs,G35,Clinton - Washington Avs,G35,GCl,G35N
D,D Coney Island - Stillwell Av,D43,Coney Island - Stillwell Av,D43,DCo,D43N
D,D Cortelyou Rd,D30,Cortelyou Rd,D30,DCo,D30N
1,1 Cortlandt St,138,Cortlandt St,138,1Co,138N
R,R Cortlandt St,R25,Cortlandt St,R25,RCo,R25N
G,G Court Sq,G22,Court Sq,719,GCo,G22N
F,F Court Sq,F09,Court Sq,719,FCo,F09N
7,7 Court Sq,719,Court Sq,719,7Co,719N
R,R Court St,R28,Court St,232,RCo,R28N
J,J Crescent St,J20,Crescent St,J20,JCr,J20N
2,2 Crown Hts - Utica Av,250,Crown Hts - Utica Av,250,2Cr,250N
6,6 Cypress Av,617,Cypress Av,617,6Cy,617N
J,J Cypress Hills,J19,Cypress Hills,J19,JCy,J19N
R,R DeKalb Av,R30,DeKalb Av,R30,RDe,R30N
L,L DeKalb Av,L16,DeKalb Av,L16,LDe,L16N
F,F Delancey St,F15,Delancey St,F15,FDe,F15N
F,F Ditmas Av,F29,Ditmas Av,F29,FDi,F29N
S,S Dongan Hills,S25,Dongan Hills,S25,SDo,S25N
1,1 Dyckman St,109,Dyckman St,109,1Dy,109N
A,A Dyckman St,A03,Dyckman St,A03,ADy,A03N
L,L E 105 St,L28,E 105 St,L28,LE ,L28N
6,6 E 143 St - St Mary's St,616,E 143 St - St Mary's St,616,6E ,616N
6,6 E 149 St,615,E 149 St,615,6E ,615N
2,2 E 180 St,213,E 180 St,213,2E ,213N
F,F East Broadway,F16,East Broadway,F16,FEa,F16N
5,5 Eastchester - Dyre Av,501,Eastchester - Dyre Av,501,5Ea,501N
2,2 Eastern Pkwy - Brooklyn Museum,238,Eastern Pkwy - Brooklyn Museum,238,2Ea,238N
6,6 Elder Av,611,Elder Av,611,6El,611N
G,G Elmhurst Av,G13,Elmhurst Av,G13,GEl,G13N
S,S Eltingville,S18,Eltingville,S18,SEl,S18N
M,M Essex St,M18,Essex St,F15,MEs,M18N
A,A Euclid Av,A55,Euclid Av,A55,AEu,A55N
H,H Far Rockaway - Mott Av,H11,Far Rockaway - Mott Av,H11,HFa,H11N
2,2 Flatbush Av - Brooklyn College,247,Flatbush Av - Brooklyn College,247,2Fl,247N
7,7 Flushing - Main St,701,Flushing - Main St,701,7Fl,701N
M,M Flushing Av,M12,Flushing Av,M12,MFl,M12N
G,G Flushing Av,G31,Flushing Av,G31,GFl,G31N
4,4 Fordham Rd,407,Fordham Rd,407,4Fo,407N
D,D Fordham Rd,D05,Fordham Rd,D05,DFo,D05N
M,M Forest Av,M05,Forest Av,M05,MFo,M05N
G,G Forest Hills - 71 Av,G08,Forest Hills - 71 Av,G08,GFo,G08N
N,N Fort Hamilton Pkwy,N03,Fort Hamilton Pkwy,N03,NFo,N03N
F,F Fort Hamilton Pkwy,F26,Fort Hamilton Pkwy,F26,FFo,F26N
B,B Fort Hamilton Pkwy,B13,Fort Hamilton Pkwy,B13,BFo,B13N
S,S Franklin Av,S01,Franklin Av,A45,SFr,S01N
A,A Franklin Av,A45,Franklin Av,A45,AFr,A45N
2,2 Franklin Av,239,Franklin Av,239,2Fr,239N
1,1 Franklin St,136,Franklin St,136,1Fr,136N
2,2 Freeman St,216,Freeman St,216,2Fr,216N
M,M Fresh Pond Rd,M04,Fresh Pond Rd,M04,MFr,M04N
A,A Fulton St,A38,Fulton St,229,AFu,A38N
4,4 Fulton St,418,Fulton St,229,4Fu,418N
M,M Fulton St,M22,Fulton St,229,MFu,M22N
2,2 Fulton St,229,Fulton St,229,2Fu,229N
G,G Fulton St,G36,Fulton St,G36,GFu,G36N
J,J Gates Av,J30,Gates Av,J30,JGa,J30N
L,L Graham Av,L11,Graham Av,L11,LGr,L11N
2,2 Grand Army Plaza,237,Grand Army Plaza,237,2Gr,237N
G,G Grand Av - Newtown,G12,Grand Av - Newtown,G12,GGr,G12N
6,6 Grand Central - 42 St,631,Grand Central - 42 St,631,6Gr,631N
9,9 Grand Central - 42 St,901,Grand Central - 42 St,631,9Gr,901N
7,7 Grand Central - 42 St,723,Grand Central - 42 St,631,7Gr,723N
L,L Grand St,L12,Grand St,L12,LGr,L12N
D,D Grand St,D22,Grand St,D22,DGr,D22N
A,A Grant Av,A57,Grant Av,A57,AGr,A57N
S,S Grant City,S23,Grant City,S23,SGr,S23N
S,S Grasmere,S27,Grasmere,S27,SGr,S27N
S,S Great Kills,S19,Great Kills,S19,SGr,S19N
G,G Greenpoint Av,G26,Greenpoint Av,G26,GGr,G26N
2,2 Gun Hill Rd,208,Gun Hill Rd,208,2Gu,208N
5,5 Gun Hill Rd,503,Gun Hill Rd,503,5Gu,503N
J,J Halsey St,J29,Halsey St,J29,JHa,J29N
L,L Halsey St,L19,Halsey St,L19,LHa,L19N
3,3 Harlem - 148 St,301,Harlem - 148 St,301,3Ha,301N
M,M Hewes St,M14,Hewes St,M14,MHe,M14N
A,A High St,A40,High St,A40,AHi,A40N
1,1 Houston St,134,Houston St,134,1Ho,134N
H,H Howard Beach - JFK Airport,H03,Howard Beach - JFK Airport,H03,HHo,H03N
A,A Hoyt - Schermerhorn Sts,A42,Hoyt - Schermerhorn Sts,A42,AHo,A42N
2,2 Hoyt St,233,Hoyt St,233,2Ho,233N
S,S Huguenot,S16,Huguenot,S16,SHu,S16N
7,7 Hunters Point Av,720,Hunters Point Av,720,7Hu,720N
6,6 Hunts Point Av,613,Hunts Point Av,613,6Hu,613N
2,2 Intervale Av,218,Intervale Av,218,2In,218N
A,A Inwood - 207 St,A02,Inwood - 207 St,A02,AIn,A02N
2,2 Jackson Av,220,Jackson Av,220,2Ja,220N
G,G Jackson Hts - Roosevelt Av,G14,Jackson Hts - Roosevelt Av,710,GJa,G14N
F,F Jamaica - 179 St,F01,Jamaica - 179 St,F01,FJa,F01N
G,G Jamaica - Van Wyck,G07,Jamaica - Van Wyck,G07,GJa,G07N
G,G Jamaica Center - Parsons/Archer,G05,Jamaica Center - Parsons/Archer,G05,GJa,G05N
R,R Jay St - MetroTech,R29,Jay St - MetroTech,A41,RJa,R29N
A,A Jay St - MetroTech,A41,Jay St - MetroTech,A41,AJa,A41N
S,S Jefferson Av,S24,Jefferson Av,S24,SJe,S24N
L,L Jefferson St,L15,Jefferson St,L15,LJe,L15N
7,7 Junction Blvd,707,Junction Blvd,707,7Ju,707N
2,2 Junius St,254,Junius St,254,2Ju,254N
F,F Kew Gardens - Union Tpke,F06,Kew Gardens - Union Tpke,F06,FKe,F06N
N,N Kings Hwy,N08,Kings Hwy,N08,NKi,N08N
D,D Kings Hwy,D35,Kings Hwy,D35,DKi,D35N
F,F Kings Hwy,F35,Kings Hwy,F35,FKi,F35N
4,4 Kingsbridge Rd,406,Kingsbridge Rd,406,4Ki,406N
D,D Kingsbridge Rd,D04,Kingsbridge Rd,D04,DKi,D04N
A,A Kingston - Throop Avs,A47,Kingston - Throop Avs,A47,AKi,A47N
2,2 Kingston Av,249,Kingston Av,249,2Ki,249N
M,M Knickerbocker Av,M09,Knickerbocker Av,M09,MKn,M09N
J,J Kosciuszko St,J31,Kosciuszko St,J31,JKo,J31N
A,A Lafayette Av,A43,Lafayette Av,A43,ALa,A43N
F,F Lexington Av/53 St,F11,Lexington Av/53 St,630,FLe,F11N
R,R Lexington Av/59 St,R11,Lexington Av/59 St,629,RLe,R11N
B,B Lexington Av/63 St,B08,Lexington Av/63 St,B08,BLe,B08N
A,A Liberty Av,A52,Liberty Av,A52,ALi,A52N
L,L Livonia Av,L26,Livonia Av,254,LLi,L26N
6,6 Longwood Av,614,Longwood Av,614,6Lo,614N
L,L Lorimer St,L10,Lorimer St,G29,LLo,L10N
M,M Lorimer St,M13,Lorimer St,M13,MLo,M13N
1,1 Marble Hill - 225 St,106,Marble Hill - 225 St,106,1Ma,106N
M,M Marcy Av,M16,Marcy Av,M16,MMa,M16N
G,G Metropolitan Av,G29,Metropolitan Av,G29,GMe,G29N
7,7 Mets - Willets Point,702,Mets - Willets Point,702,7Me,702N
M,M Middle Village - Metropolitan Av,M01,Middle Village - Metropolitan Av,M01,MMi,M01N
6,6 Middletown Rd,603,Middletown Rd,603,6Mi,603N
L,L Montrose Av,L13,Montrose Av,L13,LMo,L13N
L,L Morgan Av,L14,Morgan Av,L14,LMo,L14N
5,5 Morris Park,505,Morris Park,505,5Mo,505N
6,6 Morrison Av- Sound View,610,Morrison Av- Sound View,610,6Mo,610N
4,4 Mosholu Pkwy,402,Mosholu Pkwy,402,4Mo,402N
4,4 Mt Eden Av,411,Mt Eden Av,411,4Mt,411N
G,G Myrtle - Willoughby Avs,G32,Myrtle - Willoughby Avs,G32,GMy,G32N
L,L Myrtle - Wyckoff Avs,L17,Myrtle - Wyckoff Avs,L17,LMy,L17N
M,M Myrtle - Wyckoff Avs,M08,Myrtle - Wyckoff Avs,L17,MMy,M08N
M,M Myrtle Av,M11,Myrtle Av,M11,MMy,M11N
S,S Nassau,S12,Nassau,S12,SNa,S12N
G,G Nassau Av,G28,Nassau Av,G28,GNa,G28N
D,D Neck Rd,D38,Neck Rd,D38,DNe,D38N
F,F Neptune Av,F39,Neptune Av,F39,FNe,F39N
2,2 Nereid Av,204,Nereid Av,204,2Ne,204N
2,2 Nevins St,234,Nevins St,234,2Ne,234N
S,S New Dorp,S22,New Dorp,S22,SNe,S22N
2,2 New Lots Av,257,New Lots Av,257,2Ne,257N
L,L New Lots Av,L27,New Lots Av,L27,LNe,L27N
N,N New Utrecht Av,N04,New Utrecht Av,B16,NNe,N04N
2,2 Newkirk Av,246,Newkirk Av,246,2Ne,246N
D,D Newkirk Plaza,D31,Newkirk Plaza,D31,DNe,D31N
G,G Northern Blvd,G16,Northern Blvd,G16,GNo,G16N
D,D Norwood - 205 St,D01,Norwood - 205 St,D01,DNo,D01N
J,J Norwood Av,J21,Norwood Av,J21,JNo,J21N
A,A Nostrand Av,A46,Nostrand Av,A46,ANo,A46N
2,2 Nostrand Av,248,Nostrand Av,248,2No,248N
S,S Oakwood Heights,S21,Oakwood Heights,S21,SOa,S21N
D,D Ocean Pkwy,D41,Ocean Pkwy,D41,DOc,D41N
S,S Old Town,S26,Old Town,S26,SOl,S26N
A,A Ozone Park - Lefferts Blvd,A65,Ozone Park - Lefferts Blvd,A65,AOz,A65N
2,2 Park Pl,228,Park Pl,228,2Pa,228N
S,S Park Pl,S03,Park Pl,S03,SPa,S03N
6,6 Parkchester,608,Parkchester,608,6Pa,608N
D,D Parkside Av,D27,Parkside Av,D27,DPa,D27N
F,F Parsons Blvd,F03,Parsons Blvd,F03,FPa,F03N
6,6 Pelham Bay Park,601,Pelham Bay Park,601,6Pe,601N
5,5 Pelham Pkwy,504,Pelham Pkwy,504,5Pe,504N
2,2 Pelham Pkwy,211,Pelham Pkwy,211,2Pe,211N
2,2 Pennsylvania Av,255,Pennsylvania Av,255,2Pe,255N
S,S Pleasant Plains,S14,Pleasant Plains,S14,SPl,S14N
2,2 President St,241,President St,241,2Pr,241N
R,R Prince St,R22,Prince St,R22,RPr,R22N
S,S Prince's Bay,S15,Prince's Bay,S15,SPr,S15N
R,R Prospect Av,R34,Prospect Av,R34,RPr,R34N
2,2 Prospect Av,219,Prospect Av,219,2Pr,219N
D,D Prospect Park,D26,Prospect Park,D26,DPr,D26N
G,G Queens Plaza,G21,Queens Plaza,G21,GQu,G21N
R,R Queensboro Plaza,R09,Queensboro Plaza,718,RQu,R09N
7,7 Queensboro Plaza,718,Queensboro Plaza,718,7Qu,718N
A,A Ralph Av,A49,Ralph Av,A49,ARa,A49N
1,1 Rector St,139,Rector St,139,1Re,139N
R,R Rector St,R26,Rector St,R26,RRe,R26N
S,S Richmond Valley,S13,Richmond Valley,S13,SRi,S13N
A,A Rockaway Av,A50,Rockaway Av,A50,ARo,A50N
2,2 Rockaway Av,253,Rockaway Av,253,2Ro,253N
A,A Rockaway Blvd,A61,Rockaway Blvd,A61,ARo,A61N
H,H Rockaway Park - Beach 116 St,H15,Rockaway Park - Beach 116 St,H15,HRo,H15N
B,B Roosevelt Island,B06,Roosevelt Island,B06,BRo,B06N
