train_name,stop_key,stop_id,stop_name,parent_id,key,direction
D,D Bedford Park Blvd,D03,Bedford Park Blvd,D03,DBe,D03S
4,4 Bedford Park Blvd - Lehman College,405,Bedford Park Blvd - Lehman College,405,4Be,405S
2,2 Bergen St,236,Bergen St,236,2Be,236S
F,F Bergen St,F20,Bergen St,F20,FBe,F20S
D,D Beverley Rd,D29,Beverley Rd,D29,DBe,D29S
2,2 Beverly Rd,245,Beverly Rd,245,2Be,245S
6,6 Bleecker St,637,Bleecker St,637,6Bl,637S
4,4 Borough Hall,423,Borough Hall,232,4Bo,423S
2,2 Borough Hall,232,Borough Hall,232,2Bo,232S
S,S Botanic Garden,S04,Botanic Garden,239,SBo,S04S
M,M Bowery,M19,Bowery,M19,MBo,M19S
4,4 Bowling Green,420,Bowling Green,420,4Bo,420S
F,F Briarwood - Van Wyck Blvd,F05,Briarwood - Van Wyck Blvd,F05,FBr,F05S
D,D Brighton Beach,D40,Brighton Beach,D40,DBr,D40S
H,H Broad Channel,H19,Broad Channel,H19,HBr,H19S
H,H Broad Channel,H04,Broad Channel,H04,HBr,H04S
M,M Broad St,M23,Broad St,M23,MBr,M23S
R,R Broadway,R05,Broadway,R05,RBr,R05S
G,G Broadway,G30,Broadway,G30,GBr,G30S
A,A Broadway Jct,A51,Broadway Jct,A51,ABr,A51S
J,J Broadway Jct,J27,Broadway Jct,A51,JBr,J27S
L,L Broadway Jct,L22,Broadway Jct,A51,LBr,L22S
D,D Broadway-Lafayette St,D21,Broadway-Lafayette St,637,DBr,D21S
2,2 Bronx Park East,212,Bronx Park East,212,2Br,212S
6,6 Brook Av,618,Brook Av,618,6Br,618S
6,6 Brooklyn Bridge - City Hall,640,Brooklyn Bridge - City Hall,640,6Br,640S
6,6 Buhre Av,602,Buhre Av,602,6Bu,602S
2,2 Burke Av,209,Burke Av,209,2Bu,209S
4,4 Burnside Av,409,Burnside Av,409,4Bu,409S
L,L Bushwick Av - Aberdeen St,L21,Bushwick Av - Aberdeen St,L21,LBu,L21S
6,6 Canal St,639,Canal St,639,6Ca,639S
Q,Q Canal St,Q01,Canal St,639,QCa,Q01S
M,M Canal St,M20,Canal St,639,MCa,M20S
R,R Canal St,R23,Canal St,639,RCa,R23S
1,1 Canal St,135,Canal St,135,1Ca,135S
A,A Canal St,A34,Canal St,A34,ACa,A34S
L,L Canarsie - Rockaway Pkwy,L29,Canarsie - Rockaway Pkwy,L29,LCa,L29S
F,F Carroll St,F21,Carroll St,F21,FCa,F21S
6,6 Castle Hill Av,607,Castle Hill Av,607,6Ca,607S
1,1 Cathedral Pkwy,118,Cathedral Pkwy,118,1Ca,118S
A,A Cathedral Pkwy (110 St),A17,Cathedral Pkwy (110 St),A17,ACa,A17S
M,M Central Av,M10,Central Av,M10,MCe,M10S
2,2 Central Park North (110 St),227,Central Park North (110 St),227,2Ce,227S
M,M Chambers St,M21,Chambers St,640,MCh,M21S
A,A Chambers St,A36,Chambers St,A36,ACh,A36S
1,1 Chambers St,137,Chambers St,137,1Ch,137S
J,J Chauncey St,J28,Chauncey St,J28,JCh,J28S
1,1 Christopher St - Sheridan Sq,133,Christopher St - Sheridan Sq,133,1Ch,133S
2,2 Church Av,244,Church Av,244,2Ch,244S
F,F Church Av,F27,Church Av,F27,FCh,F27S
D,D Church Av,D28,Church Av,D28,DCh,D28S
R,R City Hall,R24,City Hall,R24,RCi,R24S
2,2 Clark St,231,Clark St,231,2Cl,231S
G,G Classon Av,G34,Classon Av,G34,GCl,G34S
J,J Cleveland St,J22,Cleveland St,J22,JCl,J22S
S,S Clifton,S28,Clifton,S28,SCl,S28S
A,A Clinton - Washington Avs,A44,Clinton - Washington Avs,A44,ACl,A44S
G,G Clinton - Washington Avs,G35,Clinton - Washington Avs,G35,GCl,G35S
D,D Coney Island - Stillwell Av,D43,Coney Island - Stillwell Av,D43,DCo,D43S
D,D Cortelyou Rd,D30,Cortelyou Rd,D30,DCo,D30S
1,1 Cortlandt St,138,Cortlandt St,138,1Co,138S
R,R Cortlandt St,R25,Cortlandt St,R25,RCo,R25S
G,G Court Sq,G22,Court Sq,719,GCo,G22S
F,F Court Sq,F09,Court Sq,719,FCo,F09S
7,7 Court Sq,719,Court Sq,719,7Co,719S
R,R Court St,R28,Court St,232,RCo,R28S
J,J Crescent St,J20,Crescent St,J20,JCr,J20S
2,2 Crown Hts - Utica Av,250,Crown Hts - Utica Av,250,2Cr,250S
6,6 Cypress Av,617,Cypress Av,617,6Cy,617S
J,J Cypress Hills,J19,Cypress Hills,J19,JCy,J19S
R,R DeKalb Av,R30,DeKalb Av,R30,RDe,R30S
L,L DeKalb Av,L16,DeKalb Av,L16,LDe,L16S
F,F Delancey St,F15,Delancey St,F15,FDe,F15S
F,F Ditmas Av,F29,Ditmas Av,F29,FDi,F29S
S,S Dongan Hills,S25,Dongan Hills,S25,SDo,S25S
1,1 Dyckman St,109,Dyckman St,109,1Dy,109S
A,A Dyckman St,A03,Dyckman St,A03,ADy,A03S
L,L E 105 St,L28,E 105 St,L28,LE ,L28S
6,6 E 143 St - St Mary's St,616,E 143 St - St Mary's St,616,6E ,616S
6,6 E 149 St,615,E 149 St,615,6E ,615S
